id,sobre,title,date,sender,recipient,placeFrom,placeTo,content,preview,mentioned_people,mentioned_places,mentioned_organizations,mentioned_events,keywords,language,type,num_pages,annotations
"INSTRUCTIONS: This template shows the correct format for importing letters.","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:","","INSTRUCTIONS:",""
"","","","","","","","","","","","","","","","","","",""
"REQUIRED COLUMNS (you must fill):","","","","","","","","","","","","","","","","","",""
"id","sobre","title","date","sender","recipient","placeFrom","placeTo","content","","","","","","","","","",""
"Unique identifier","Envelope number","Letter title","Date YYYY-MM-DD","Sender","Recipient","Origin place","Destination place","Full content","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"OPTIONAL COLUMNS:","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","language","type","num_pages","annotations","","","","","",""
"","","","","","","","","","Language (Spanish, English, etc)","Type (manuscript, typewritten, etc)","Number of pages","Additional notes","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"SYSTEM-FILLED COLUMNS (do not fill):","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","preview","mentioned_people","mentioned_places","mentioned_organizations","mentioned_events","keywords","","","",""
"","","","","","","","","","Automatic preview","Mentioned people (separated by |)","Mentioned places (separated by |)","Mentioned organizations (separated by |)","Mentioned events (separated by |)","Keywords (separated by |)","","","",""
"","","","","","","","","","","","","","","","","","",""
"LETTER EXAMPLE:","","","","","","","","","","","","","","","","","",""
"letter-001","Envelope 45","Letter from Luis to Maria","1945-03-15","Luis Mitrovic","Maria Gonzalez","Santiago","Vienna","Dear Maria, I write to you from Santiago...","","","","","","","Spanish","manuscript","2","Important letter"
"letter-002","Envelope 46","Letter from Maria to Luis","1945-04-20","Maria Gonzalez","Luis Mitrovic","Vienna","Santiago","Dear Luis, I received your letter...","","","","","","","Spanish","typewritten","1","Reply"
"","","","","","","","","","","","","","","","","","",""
"IMPORTANT NOTES:","","","","","","","","","","","","","","","","","",""
"1. The 'date' field MUST be in YYYY-MM-DD format (e.g., 1945-03-15)","","","","","","","","","","","","","","","","","",""
"2. The 'placeFrom' and 'placeTo' fields are important for the geographic map","","","","","","","","","","","","","","","","","",""
"3. The 'content' field can contain the full text of the letter","","","","","","","","","","","","","","","","","",""
"4. Use double quotes for fields containing commas or line breaks","","","","","","","","","","","","","","","","","",""
"5. Leave empty the columns that the system fills automatically","","","","","","","","","","","","","","","","","",""
